X,Y,region,sh,rs,rp,description,lane,type,equipmentcurrent,accepteddays,siteref,sitetype,percentheavy,aadt5yearsago,aadt4yearsago,aadt3yearsago,aadt2yearsago,aadt1yearago,OBJECTID
1687583.2763,6092784.9807,01 - Northland,10,0,7.38000011444092,Sth of Puketona Rd (SH11),Both,Non-Continuous,Dual Loop,27.0,01000007,Regional Non-Continuous,8.2,4954.0,5376.0,5809.0,6169.0,6145.0,1
1686763.3872,6095527.6731,01 - Northland,10,7,3.00999999046326,Nth of Wakelin Rd (about 3.5km north of SH11),Both,Non-Continuous,Dual Loop,27.0,01000011,Regional Non-Continuous,6.2,9001.0,9761.0,10196.0,10980.0,11136.0,2
1683979.594,6099668.5755,01 - Northland,10,7,8.22999954223633,Springbank Road 1km south of Waimate Nth Rd,Both,Non-Continuous,Dual Loop,27.0,01000015,Regional Non-Continuous,6.8,7419.0,7971.0,8017.0,8417.0,8669.0,3
1680410.7298,6110298.5976,01 - Northland,10,17,11.1400003433228,About 1km south of Takou Bay Rd,Both,Continuous,Dual Loop,364.0,01000029,Regional Continuous,7.2,4853.0,4754.0,5117.0,5513.0,5760.0,4
1658992.7702,6124061.6402,01 - Northland,10,48,11.9300003051758,About 1.1 km north of Salvation Rd,Both,Non-Continuous,Dual Loop,27.0,01000060,Regional Non-Continuous,9.0,2913.0,2981.0,2974.0,3387.0,3508.0,5
1643685.2316,6127915.6254,01 - Northland,10,79,2.20000004768372,By Doubtless Bay Croquet Club 50-100m W of Stratford Dr Cable Bay,Both,Non-Continuous,Dual Loop,,01000076,Regional Non-Continuous,,4668.0,5226.0,,5642.0,,6
1633983.2404,6128180.4005,01 - Northland,10,79,12.8599996566772,East of Lake Ohia Bridge midway btwn Inland Rd & Pekerau Rd,Both,Non-Continuous,Dual Loop,27.0,01000092,Regional Non-Continuous,6.9,3830.0,4007.0,3670.0,4537.0,4407.0,7
1699123.3243,6086403.7851,01 - Northland,11,0,3.74000000953674,Sth of Taumarere Bridge just N of level crossing N of Kawakawa,Both,Non-Continuous,Dual Loop,,01100004,Regional Non-Continuous,,2857.0,2702.0,2829.0,2833.0,,8
1699880.0493,6093656.917,01 - Northland,11,0,13.9460000991821,Nth of Waimangaro Rd (actually just S of Waimangaro R btwn Paihia & Opua),Both,Continuous,Dual Loop,27.0,01100013,Regional Continuous,2.7,5595.0,4155.0,,4876.0,5164.0,9
1688538.9412,6093900.0286,01 - Northland,11,14,13.918999671936,Puketona Rd (East of SH10),Both,Continuous,Dual Loop,363.0,01100027,Regional Continuous,3.8,5263.0,4957.0,4881.0,5197.0,5230.0,10
1677516.7036,6084388.2428,01 - Northland,12,0,4.19999980926514,South of Old School Rd (about 7km east of Kaikohe),Both,Continuous,Dual Loop,341.0,01200004,Regional Continuous,4.0,4132.0,4255.0,4225.0,4468.0,4553.0,11
1673356.0302,6081937.4959,01 - Northland,12,9,1.06599998474121,Broadway Kaikohe about 20m west of Quarry Rd,Both,Non-Continuous,Dual Loop,,01200010,Regional Non-Continuous,,7366.0,8702.0,7796.0,7498.0,,12
1660857.1771,6075419.0817,01 - Northland,12,17,9.36999988555908,KAIKOHE - Telemetry Site 102 ,Both,National,Telemetry,284.0,01200026,Telemetry,5.4,1543.0,1623.0,1665.0,1693.0,1707.0,13
1636737.5429,6071600.1354,01 - Northland,12,61,0.810000002384186,West of Waiotemarama Gorge Rd Pakanae,Both,Non-Continuous,Dual Loop,27.0,01200062,Regional Non-Continuous,3.6,1397.0,1358.0,1449.0,1451.0,1461.0,14
1644164.6457,6064505.6853,01 - Northland,12,74,5.19000005722046,About 200m south of Weka Weka Rd/Goodwin Rd Waimamaku,Both,Non-Continuous,Dual Loop,,01200079,Regional Non-Continuous,,445.0,,,513.0,,15
1648175.0769,6059948.6453,01 - Northland,12,89,0.0399999991059303,Sth of Wairau River Bridge Waipoua Forest,Both,Non-Continuous,Dual Loop,27.0,01200089,Regional Non-Continuous,5.6,338.0,160.0,265.0,311.0,270.0,16
1655867.2153,6044362.9073,01 - Northland,12,106,7.21999979019165,800m north of Aranga Station Rd,Both,Non-Continuous,Dual Loop,27.0,01200114,Regional Non-Continuous,9.8,406.0,371.0,385.0,393.0,376.0,17
1665292.4442,6039401.0324,01 - Northland,12,122,3.13000011444092,Nth of Ahikiwi Rd,Both,Non-Continuous,Dual Loop,27.0,01200125,Regional Non-Continuous,8.1,806.0,774.0,753.0,800.0,727.0,18
